# i,E_vis_i,xsec_i
0,22.5,0.00011763858344531763
1,27.5,0.00017731274904337398
2,32.5,0.0018580765905880439
3,37.5,0.0038106196918004545
4,42.5,0.0028635554110697987
5,47.5,0.007552457698600485
6,52.5,0.0084523560363039089
7,57.5,0.0085510562465798707
8,62.5,0.014372683461585984
9,67.5,0.018940145889699847
10,72.5,0.02159686115989666
11,77.5,0.027845894772537239
12,82.5,0.044710843547014531
13,87.5,0.05782917953418535
14,92.5,0.06348899371910674
15,97.5,0.060304735047518682
16,102.5,0.057188151263588775
17,107.5,0.16105836857801009
18,112.5,0.33263499760753962
19,117.5,0.051104661989974889
20,122.5,0.018833774213876445
21,127.5,0.014568614989614653
22,132.5,0.017708579804415672
23,137.5,0.0
24,142.5,0.0
25,147.5,0.0
